Data,Negozio,Prodotto,Quantità,Prezzo_unitario
2023-09-01,Milano,Smartphone,5,499.99
2023-09-02,Roma,Laptop,2,1200.50
2023-09-02,Napoli,TV,1,349.90
2023-09-03,Torino,Cuffie,10,49.99
2023-09-04,Milano,Tablet,4,299.50
2023-09-05,Firenze,Smartphone,1,899.00
2023-09-06,Roma,Monitor,2,199.99
2023-09-07,Napoli,Laptop,1,950.00
2023-09-08,Milano,Mouse,15,19.99
2023-09-09,Torino,Tastiera,5,45.00
2023-09-10,Roma,TV,2,599.99
2023-09-11,Firenze,Console,3,499.99
2023-09-12,Napoli,Smartphone,2,650.00
2023-09-13,Milano,Laptop,3,1100.00
2023-09-14,Torino,Cuffie,8,89.90
2023-09-15,Roma,Tablet,5,150.00
2023-09-16,Firenze,Smartwatch,4,199.99
2023-09-17,Milano,TV,1,1200.00
2023-09-18,Napoli,Stampante,2,120.50
2023-09-19,Roma,Smartphone,6,550.00
2023-09-20,Torino,Laptop,1,1400.00
2023-09-21,Milano,Monitor,3,250.00
2023-09-22,Firenze,Mouse,10,25.00
2023-09-23,Napoli,TV,2,400.00
2023-09-24,Roma,Console,1,399.99
2023-09-25,Torino,Smartwatch,3,249.90
2023-09-26,Milano,Tablet,2,320.00
2023-09-27,Firenze,Laptop,1,999.99
2023-09-28,Napoli,Cuffie,5,59.90
2023-09-29,Roma,Smartphone,3,799.00
2023-09-30,Milano,Hard Disk,4,85.00
2023-09-16,Firenze,Smartwatch,4,199.99
